timestamp,source,screen_state
2021-06-15 07:19:40.130000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 07:25:15.428000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 07:25:16.091000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 07:26:23.349000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 07:48:20.042000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 07:48:20.614000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 07:49:27.719000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 08:05:39.412000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 08:05:39.922000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 08:07:44.308000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 08:22:33.562000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 08:22:34.063000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 08:24:54.768000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 09:19:10.757000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 09:19:11.250000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 09:19:58.774000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-15 19:53:59.791000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-15 19:54:00.576000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-15 19:54:35.749000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-16 07:14:16.939000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-16 07:14:18.804000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-16 07:14:34.779000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-16 19:38:32.291000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-16 19:38:33.452000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-16 19:39:03.375000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-16 19:39:23.930000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-16 19:39:24.433000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-16 19:43:12.122000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-16 19:50:10.447000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
2021-06-16 19:50:11.151000+02:00,Celine_test.samsung.SM-G398FN,On
2021-06-16 19:50:49.202000+02:00,Celine_test.samsung.SM-G398FN,Off
2021-06-16 20:06:56.608000+02:00,Celine_test.samsung.SM-G398FN,Unlocked
