timestamp,source,screen_state
2021-06-07 13:00:50.531000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 13:00:50.531000+02:00,Nicolas_test.samsung.SM-G398FN,Locked
2021-06-07 13:08:16.544000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 13:08:17.106000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 13:09:20.793000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 13:20:22.830000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 13:20:23.599000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 13:21:57.571000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 13:22:23.193000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 13:22:23.852000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 13:26:06.097000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 13:30:36.216000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 13:30:36.702000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 13:30:48.353000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 13:30:48.353000+02:00,Nicolas_test.samsung.SM-G398FN,Locked
2021-06-07 15:27:50.986000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 15:27:51.448000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 15:28:45.687000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 16:13:27.586000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 16:13:28.280000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
2021-06-07 16:13:51.238000+02:00,Nicolas_test.samsung.SM-G398FN,Locked
2021-06-07 16:13:51.238000+02:00,Nicolas_test.samsung.SM-G398FN,Off
2021-06-07 16:16:54.189000+02:00,Nicolas_test.samsung.SM-G398FN,On
2021-06-07 16:16:55.010000+02:00,Nicolas_test.samsung.SM-G398FN,Unlocked
