timestamp,source,screen_state
2021-06-07 08:23:16.891000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 08:23:16.891000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 08:33:09.553000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 08:33:19.795000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 08:33:19.795000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 08:42:03.744000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 08:42:04.439000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 08:42:40.238000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 08:42:40.238000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 08:56:56.948000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 08:56:57.751000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 08:57:35.831000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 08:57:35.831000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 08:57:57.164000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 08:57:57.768000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 08:58:35.010000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 08:58:35.010000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:00:21.891000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 09:00:22.624000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:01:05.669000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 09:01:05.669000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:01:06.484000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:01:08.152000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 09:02:16.922000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:02:16.922000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 09:02:47.735000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 09:02:48.473000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:03:21.423000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:04:39.801000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:04:50.462000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Locked
2021-06-07 09:04:50.462000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:05:09.693000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 09:05:10.429000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:15:18.175000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
2021-06-07 09:44:26.593000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,On
2021-06-07 09:44:28.292000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Unlocked
2021-06-07 09:46:10.850000+02:00,Patient_svhoecke.HUAWEI.BLA-L29,Off
